"209Bi_CD3","112Cd_CD19","162Dy_TCRgd","163Dy_CD64","166Er_CXCR5","167Er_CD127","168Er_CD24","170Er_CD62L","151Eu_CD49b","155Gd_IA_IE","156Gd_CD25","158Gd_IgM","144Nd_Siglec_F","145Nd_CD4","146Nd_CD45R_B220","148Nd_CD103","x190BCKG","x164Dy_IL_10","x153Eu_HA_IC","Event_length","x138Ba_Environ","x160Gd_IL_4","x165Ho_CD49d","x127I","x191Ir_DNA1","x193Ir_DNA2","x175Lu_KLRG1","x142Nd_TNFa","x143Nd_NP","x150Nd_CD317","Offset","x208Pb_Environ","x141Pr_IFNg","x195Pt_Live_Dead","Residual","x103Rh","x120Sn_Environ","x169Tm_Ki67","x131Xe_Environ","x140Ce_EQ4_beads","x173Yb_CD69","x176Yb_GmzB","Time","Center","x133Cs_Environ","x161Dy_HA","147Sm_CD206","149Sm_CD8","152Sm_Ly_6C","154Sm_CD11c","159Tb_Ly_6G","89Y_CD45","171Yb_CD44","172Yb_CD11b","174Yb_IgD"
0,0,0,7.25471,1.55898,0,211.9,2.49363,0,120.834,0,0.174775,0.800578,0,0.32861,194.851,0.280325,0.370653,1.9602,28,83.9477,1.60957,310.461,0,389.186,631.298,0,0,0,2.56793,101.28,0,2.78904,35.7295,121.07,0,0,1.62808,0,0.13299,2.9975,0,1.30244e+06,1310.89,0,0,2.76283,0,0,88.1184,0.418152,234.371,185.474,20.4861,0
0.654926,0,1.82841,0,0.823419,1.8813,93.0686,1.6237,0.222663,84.9799,3.10587,0,0,9.46376,1.96659,12.6618,0.233229,0.421775,0.285705,30,365.161,3.86897,352.783,3.12671,361.958,774.681,1.47895,2.18455,0,12.5692,101.086,1.75275,0.537813,36.015,101.079,0,0,11.1689,0,0,0,0.504493,1.31459e+06,1461.71,0,0,0,547.741,0,244.61,0.799583,71.2949,87.235,27.1204,0
4.2229,0.599372,0,10.7558,0,0,265.969,0,1.87661,249.769,0.523834,0,0,0,3.66592,384.409,0.0191197,3.84463,0.436267,32,196.733,3.26053,267.879,0.999367,378.103,636.468,0,0.584293,0,0,116.739,0,10.5186,49.4128,107.763,0,0,1.17375,0.865622,0,0.713276,0,519006,1386.71,0,0,9.06376,1.09849,0.131027,94.7453,0,251.048,252.507,18.6568,0
0,3.6936,0,8.90056,4.28087,0,442.45,16.6972,0,105.683,0.0398872,0,0,0,0.554952,500.663,0,0,0,29,110.056,2.85103,238.517,5.72625,789.894,1460.34,0,0.0450811,0,0,105.993,0,7.08945,100.463,100.699,0,0,0.974486,3.70581,0,0,0,425756,1374.91,0,2.84938,0,0,0.565459,201.425,0,213.465,370.43,0,0
0.789,6.113,2.47761,5.61551,0,0,45.0926,2.70278,0,164.202,3.61006,5.86076,7.83932,0,1.14955,261.979,0,0,1.46392,27,70.519,0,162.062,3.499,345.776,711.367,0,3.40684,0,0,103.455,0.776,1.71,46.313,106.405,0,0,0.673927,0,0,1.24519,2.45947,522941,1405.66,0,0,2.92603,4.21347,0,91.8217,0,137.736,272.703,0,0
0,1.61351,0,0,0,0.00222549,137.309,0,1.05223,26.3658,1.24497,0,5.70919,0,0,244.25,0,3.13075,0.397006,23,340.221,2.36907,317.631,1.93083,381.49,855.688,0,0,0,0,105.326,0,4.82183,37.0567,86.719,0,0,0,1.0023,0,1.56124,0,1.71049e+06,1093.81,0,2.17201,1.15416,0,0,216.871,0,135.995,137.124,4.10161,0
0,0,0,6.24758,1.13917,0,58.4878,0,0,179.932,0.954703,0.619911,0,1.59928,0,421.105,0,0.397938,0.567772,24,488.301,1.02389,326.122,2.06514,329.068,658.181,0,3.48031,0,1.85215,95.712,0,6.94839,36.0803,64.8,0,0,0.793828,0,0.783696,2.8601,0,688323,994.069,0,0.376098,11.7992,2.15722,0,60.0273,0,243.791,265.575,32.4073,0
0,0.538518,0,42.3813,5.03793,0,142.77,0.595846,0,573.982,2.03109,0,7.23855,30.626,0,286.83,1.01232,5.68296,2.37445,19,91.7553,2.03566,232.709,16.0946,487.057,914.21,0,0,0.304334,0,68.413,0,13.5202,78.8474,74.651,0,0,0.752711,0,0.949886,1.43521,0,515955,809.905,0,0,0,8.20783,3.41284,127.685,0,236.133,158.141,477.45,4.9482
0.623107,6.88284,0,0,0,0,26.0719,0,7.0047,494.711,1.2125,0.764646,0,0,0,11.4129,0,1.78373,0,21,102.253,0,301.49,0,416.399,823.06,0,1.33316,0,0,102.688,4.35449,0,56.6384,63.562,0,0,4.0807,0.381667,0,0,0,373654,984.294,0,0.664986,0,0,3.88671,63.8185,0,49.172,79.3897,2.31122,0
6.45718,13.3076,4.24234,3.57015,2.11952,0,93.0101,2.0877,0,95.3391,1.51923,0,6.15837,1.22464,0,243.411,0,5.47212,0,22,89.5054,0,80.7788,0,518.105,792.046,2.4499,0.743251,0,0,114.885,0,1.53323,40.5784,69.019,0,0,0.997919,0,0.710395,0.403662,0,648316,995.667,0,2.78218,0,0.0057901,2.87967,57.1632,0.0863492,145.94,202.057,8.87547,2.30339
